timestamp,unit_ts,hkt,tradeid,price,quantity
2024-04-24T14:37:32.522Z,1713969452,2024-04-24 22:37:32,6V0DCSJ0D4YD,64918.5,0.06364193
2024-04-24T14:37:32.522Z,1713969452,2024-04-24 22:37:32,6V0DCSJ0D4YE,64921,0.01798408
2024-04-24T14:37:32.741Z,1713969452,2024-04-24 22:37:32,6V0DCSJ0D4YQ,64921,0.04571592
2024-04-24T14:37:34.615Z,1713969454,2024-04-24 22:37:34,6V0DCSJ0D50Z,64949.5,0.0000177
2024-04-24T14:37:34.98Z,1713969454,2024-04-24 22:37:34,6V0DCSJ0D51F,64949.5,0.00106082
2024-04-24T14:37:37.038Z,1713969457,2024-04-24 22:37:37,6V0DCSJ0D540,64999.5,0.00010877
2024-04-24T14:37:37.73Z,1713969457,2024-04-24 22:37:37,6V0DCSJ0D54Z,64999.5,0.00441541
2024-04-24T14:37:39.508Z,1713969459,2024-04-24 22:37:39,6V0DCSJ0D578,65008.75,0.00563462
2024-04-24T14:37:40.555Z,1713969460,2024-04-24 22:37:40,6V0DCSJ0D58L,65009,0.00000282
2024-04-24T14:37:43.835Z,1713969463,2024-04-24 22:37:43,6V0DCSJ0D5CK,64974.75,0.00005863
